date, - values, - uncertainties
1979-07-01,12071748.0,
1980-07-01,11647403.0,
1981-07-01,11781140.0,
1982-07-01,11994056.0,
1983-07-01,11714236.0,
1984-07-01,11761275.0,
1985-07-01,11901927.0,
1986-07-01,11946031.0,
1987-07-01,11833116.0,
1988-07-01,11814032.0,
1989-07-01,11698185.0,
1990-07-01,11705555.0,
1991-07-01,11859591.0,
1992-07-01,11751540.0,
1993-07-01,11748552.0,
1994-07-01,12084517.0,
1995-07-01,12113107.0,
1996-07-01,12095584.0,
1997-07-01,11693617.0,
1998-07-01,12034027.0,
1999-07-01,12089557.0,
2000-07-01,12101947.0,
2001-07-01,11979611.0,
2002-07-01,11558395.0,
2003-07-01,12247807.0,
2004-07-01,12270393.0,
2005-07-01,12004909.0,
2006-07-01,11755437.0,
2007-07-01,12006641.0,
2008-07-01,12601457.0,
2009-07-01,12402144.0,
2010-07-01,12431307.0,
2011-07-01,11838928.0,
2012-07-01,12354188.0,
2013-07-01,12829635.0,
2014-07-01,13102311.0,
2015-07-01,12725637.0,
2016-07-01,11558932.0,
2017-07-01,11029838.0,
2018-07-01,11323097.0,
2019-07-01,11176862.0,
2020-07-01,11925040.0,
2021-07-01,11957096.0,
2022-07-01,11086024.0,
2023-07-01,10285561.0,0.0
2024-07-01,10810589.0,0.0
