date_and_hour_StL,Datetime,Air Pressure_StL,Air Temperature_StL,Precipitation_StL,Relative Humidity_StL,Wind From Direction_StL,Wind Speed_StL,Wind speed of gust_StL,Air Temperature,Average 10 meter wind speed over past 1 hour,Average air temperature over past 1 hour,Mean Sea Level Pressure,Precipitation Amount over past 1 hour,Rainfall amount over past 1 hour,Relative Humidity,Station Pressure,Vector average 10 meter wind direction over past 1 hour
2023-04-11T13,2023-04-11 13:00:00,981.3,-0.6397499999999999,0.0,88.13925,70.19624999999999,2.28025,4.5605,1.2,6.8,-0.3,1011.9,0.0,0.0,88.0,980.9,91.0
2023-04-11T14,2023-04-11 14:00:00,980.475,3.74725,0.0,83.17575,85.288,2.982,7.19175,4.2,4.3,3.1,1011.2,0.0,0.0,72.0,980.3,87.0
2023-04-11T15,2023-04-11 15:00:00,979.675,7.7295,0.0,67.90625,96.5195,4.91125,10.348749999999999,6.7,10.3,5.2,1009.8,0.0,0.0,67.0,979.0,124.0
2023-04-11T16,2023-04-11 16:00:00,978.475,9.78375,0.0,59.4565,111.61175,5.613,13.506499999999999,7.1,15.5,6.7,1009.4,0.0,0.0,65.0,978.6,134.0
2023-04-11T17,2023-04-11 17:00:00,977.725,11.518,0.0,55.2035,116.87650000000001,5.6129999999999995,13.155750000000001,8.5,15.6,7.2,1007.9,0.0,0.0,61.0,977.2,140.0
2023-04-11T18,2023-04-11 18:00:00,976.35,13.15325,0.0,51.04025,118.63125,7.016500000000001,17.54075,9.2,17.4,9.2,1007.0,0.0,0.0,60.0,976.3,134.0
2023-04-11T19,2023-04-11 19:00:00,975.1,13.5225,0.0,50.1365,124.598,9.29675,22.62775,10.8,19.1,8.9,1005.0,0.0,0.0,57.0,974.5,143.0
2023-04-11T20,2023-04-11 20:00:00,973.675,13.96025,0.0,49.108000000000004,123.545,9.472,21.2245,11.1,24.3,10.7,1004.1,0.0,0.0,55.0,973.6,140.0
2023-04-11T21,2023-04-11 21:00:00,972.625,12.53275,0.0,50.405,134.0745,14.9095,35.607749999999996,7.0,28.1,8.7,1002.7,0.0,0.0,67.0,972.1,151.0
2023-04-11T22,2023-04-11 22:00:00,971.25,11.845500000000001,0.0,51.730000000000004,134.4255,13.8575,31.04725,8.0,27.9,8.0,1001.4,0.0,0.0,62.0,970.8,152.0
2023-04-11T23,2023-04-11 23:00:00,970.0250000000001,10.41525,0.0,55.12325,140.04125,16.66375,34.73075,4.6,27.1,5.9,1000.9,0.0,0.0,76.0,970.2,157.0
2023-04-12T00,2023-04-12 00:00:00,970.525,8.35475,0.0,60.8,165.31175,14.73425,27.714750000000002,3.8,21.6,3.5,1001.4,0.0,0.0,81.0,970.7,171.0
2023-04-12T01,2023-04-12 01:00:00,970.2249999999999,7.3092500000000005,0.0,64.605,147.76275,10.7,22.803,3.3,20.8,3.6,1000.8,0.0,0.0,84.0,970.1,152.0
2023-04-12T02,2023-04-12 02:00:00,970.125,4.75725,0.0,71.28325000000001,145.30575,7.5425,15.786750000000001,2.4,19.5,2.4,1000.3,0.0,0.0,89.0,969.7,155.0
2023-04-12T03,2023-04-12 03:00:00,970.025,3.05725,0.0,78.35775,140.041,6.1392500000000005,12.103,1.9,17.0,1.9,1000.4,0.0,0.0,91.0,969.9,155.0
2023-04-12T04,2023-04-12 04:00:00,969.75,1.97875,0.0,81.33075,124.247,3.6835,9.12125,2.1,16.0,2.0,1000.2,0.0,0.0,88.0,969.7,153.0
2023-04-12T05,2023-04-12 05:00:00,969.625,2.852,0.0,81.366,165.3115,9.2965,15.436,1.0,12.4,1.1,1000.2,0.0,0.0,93.0,969.7,179.0
2023-04-12T06,2023-04-12 06:00:00,969.6,1.70125,0.0,82.961,186.01975,7.8934999999999995,11.4015,0.7,9.1,0.9,1000.2,0.0,0.0,93.0,969.8,200.0
2023-04-12T07,2023-04-12 07:00:00,969.85,1.5162499999999999,0.0,84.74325,212.69425,5.7885,8.4195,0.4,7.8,0.5,1000.0,0.0,0.0,94.0,969.6,229.0
2023-04-12T08,2023-04-12 08:00:00,969.825,1.49875,0.0,85.42699999999999,273.76475,3.5082500000000003,6.49,0.7,7.1,0.7,1000.6,0.0,0.0,94.0,970.1,280.0
2023-04-12T09,2023-04-12 09:00:00,970.15,2.173,0.0,85.4645,307.9266666666667,5.61325,8.94575,0.0,8.4,0.6,1001.7,0.0,0.0,93.0,971.1,329.0
2023-04-12T10,2023-04-12 10:00:00,971.05,1.263,0.0,86.42175,217.95875,3.5082500000000003,6.49,0.4,3.7,0.2,1001.7,0.0,0.0,95.0,971.2,276.0
2023-04-12T11,2023-04-12 11:00:00,971.35,2.153,0.0,86.67625,328.51800000000003,4.9115,8.4195,2.5,10.0,1.6,1002.2,0.0,0.0,89.0,971.6,320.0
2023-04-12T12,2023-04-12 12:00:00,971.75,3.1189999999999998,0.0,83.5535,251.65324999999999,5.26225,8.94575,0.0,6.6,1.0,1002.8,0.0,0.0,94.0,972.0,278.0
2023-04-12T13,2023-04-12 13:00:00,972.25,2.74775,0.0,85.19075000000001,170.5765,10.349,15.2605,0.6,13.3,0.3,1003.3,0.0,0.0,94.0,972.6,177.0
2023-04-12T14,2023-04-12 14:00:00,972.975,2.81075,0.0,83.45875,179.351,10.1735,14.7345,2.0,11.5,1.3,1004.2,0.0,0.0,91.0,973.5,202.0
2023-04-12T15,2023-04-12 15:00:00,972.875,5.636,0.0,78.71225,173.3845,9.6475,14.207999999999998,2.5,12.9,2.6,1003.9,0.0,0.0,87.0,973.1,176.0
2023-04-12T16,2023-04-12 16:00:00,973.15,7.343500000000001,0.0,71.49475,190.93349999999998,7.718,11.226,2.6,10.5,2.5,1004.9,0.0,0.0,85.0,974.1,227.0
2023-04-12T17,2023-04-12 17:00:00,974.1,7.62625,0.0,68.4845,272.3605,4.03425,6.6655,4.9,6.0,3.2,1005.9,0.0,0.0,76.0,975.1,287.0
2023-04-12T18,2023-04-12 18:00:00,974.725,9.65525,0.0,59.838750000000005,268.5,5.08675,8.069,4.4,17.9,4.5,1006.0,0.0,0.0,70.0,975.2,322.0
2023-04-12T19,2023-04-12 19:00:00,975.075,5.77375,0.0,66.69475,308.16075,14.383750000000001,22.45225,3.8,25.8,4.5,1006.7,0.0,0.0,76.0,975.8,321.0
2023-04-12T20,2023-04-12 20:00:00,975.525,7.7355,0.0,62.4405,319.041,21.92625,29.81925,3.2,18.4,3.5,1007.1,0.0,0.0,80.0,976.2,320.0
2023-04-12T21,2023-04-12 21:00:00,976.075,5.65175,0.0,68.68875,313.0745,13.331,17.8915,3.8,22.5,3.7,1007.4,0.0,0.0,79.0,976.5,315.0
2023-04-12T22,2023-04-12 22:00:00,976.375,5.51375,0.0,70.0255,312.72375,13.155750000000001,20.522750000000002,4.3,21.7,5.1,1007.6,0.0,0.0,75.0,976.8,332.0
2023-04-12T23,2023-04-12 23:00:00,976.9,5.6325,0.0,69.596,309.2135,12.278500000000001,18.76875,3.4,19.0,4.4,1008.5,0.0,0.0,80.0,977.7,323.0
2023-04-13T00,2023-04-13 00:00:00,977.625,4.484249999999999,0.0,74.12650000000001,314.82925,14.7345,19.82125,2.6,20.2,3.0,1009.1,0.0,0.0,85.0,978.1,319.0
2023-04-13T01,2023-04-13 01:00:00,977.45,5.04125,0.0,73.907,324.65675,16.83925,24.732750000000003,5.0,14.4,3.6,1008.8,0.0,0.0,75.0,977.9,333.0
2023-04-13T02,2023-04-13 02:00:00,978.325,5.2467500000000005,0.0,71.59075,281.83725,5.964,9.998249999999999,1.6,8.9,3.6,1010.1,0.0,0.0,88.0,979.2,329.0
2023-04-13T03,2023-04-13 03:00:00,979.25,1.8455,0.0,78.94275,264.63925,2.28025,4.38525,2.1,9.6,1.9,1010.7,0.0,0.0,84.0,979.8,313.0
2023-04-13T04,2023-04-13 04:00:00,979.75,2.625,0.0,79.85275,322.2,5.4375,7.89325,3.2,9.6,2.6,1010.8,0.0,0.0,78.0,979.9,340.0
2023-04-13T05,2023-04-13 05:00:00,979.9250000000001,2.56725,0.0,78.37725,330.2725,4.2095,7.54275,2.3,9.1,2.5,1011.1,0.0,0.0,81.0,980.2,353.0
2023-04-13T06,2023-04-13 06:00:00,980.175,3.253,0.0,75.7935,340.451,4.38525,7.5425,1.6,6.8,1.8,1011.7,0.0,0.0,82.0,980.7,352.0
2023-04-13T07,2023-04-13 07:00:00,980.825,1.61275,0.0,78.6115,152.55966666666666,0.52625,2.8064999999999998,1.3,4.3,1.5,1012.1,0.0,0.0,85.0,981.1,15.0
2023-04-13T08,2023-04-13 08:00:00,981.15,1.6295,0.0,79.79775000000001,65.98433333333334,1.0525,2.80675,0.0,5.9,0.4,1012.3,0.0,0.0,89.0,981.3,351.0
2023-04-13T09,2023-04-13 09:00:00,981.0,0.6555,0.0,82.20175,202.16466666666668,1.9297499999999999,3.859,0.0,6.9,-0.5,1012.4,0.0,0.0,93.0,981.4,14.0
2023-04-13T10,2023-04-13 10:00:00,981.275,1.3247499999999999,0.0,81.86825,5.616,2.982,7.01625,0.0,9.0,0.2,1012.5,0.0,0.0,90.0,981.5,15.0
2023-04-13T11,2023-04-13 11:00:00,981.45,0.531,0.0,82.30625,36.502,0.351,2.98175,0.2,9.3,0.4,1012.7,0.0,0.0,88.0,981.7,23.0
2023-04-13T12,2023-04-13 12:00:00,981.525,-0.40049999999999997,0.0,83.524,58.964999999999996,0.1755,1.0525,0.1,7.0,-0.1,1013.0,0.0,0.0,88.0,981.9,38.0
2023-04-13T13,2023-04-13 13:00:00,982.05,0.27175,0.0,84.746,55.45525,0.351,2.63125,0.4,5.2,0.2,1013.3,0.0,0.0,88.0,982.3,46.0
2023-04-13T14,2023-04-13 14:00:00,981.8,2.44125,0.0,81.72675,36.85275,1.05275,3.859,3.5,8.2,2.0,1012.7,0.0,0.0,74.0,981.7,61.0
2023-04-13T15,2023-04-13 15:00:00,980.775,6.1545000000000005,0.0,70.497,34.747,3.33275,9.472000000000001,5.7,12.0,4.6,1011.6,0.0,0.0,65.0,980.7,59.0
2023-04-13T16,2023-04-13 16:00:00,980.725,9.8675,0.0,58.20399999999999,50.19025,3.33275,11.4015,6.9,15.0,6.6,1012.4,0.0,0.0,59.0,981.6,72.0
2023-04-13T17,2023-04-13 17:00:00,980.7,8.735,0.0,57.83725,43.8725,3.15775,14.3835,7.3,16.4,7.1,1011.9,0.0,0.0,59.0,981.1,64.0
2023-04-13T18,2023-04-13 18:00:00,980.625,8.05525,0.0,59.3035,39.66075,2.456,11.05075,6.8,15.5,6.8,1011.7,0.0,0.0,63.0,980.8,60.0
2023-04-13T19,2023-04-13 19:00:00,980.1,8.109,0.0,58.9815,34.747,4.7357499999999995,12.80475,6.8,17.9,6.8,1011.5,0.0,0.0,61.0,980.6,53.0
