date_and_hour_StL,Datetime,Air Pressure_StL,Air Temperature_StL,Precipitation_StL,Relative Humidity_StL,Wind From Direction_StL,Wind Speed_StL,Wind speed of gust_StL
2021-09-20T20,2021-09-20 20:00:00,982.55,20.031,67.0,0.0,1.169,,
2021-09-20T21,2021-09-20 21:00:00,982.625,19.12125,56.775,0.0,0.24375,,
2021-09-20T22,2021-09-20 22:00:00,982.9,17.647,57.5,0.0,0.0,,
2021-09-20T23,2021-09-20 23:00:00,983.225,16.6115,60.475,0.0,0.0,,
2021-09-21T00,2021-09-21 00:00:00,983.975,15.1625,63.875,0.0,0.0,,
2021-09-21T01,2021-09-21 01:00:00,985.4,14.7145,66.35,0.0,0.0,,
2021-09-21T02,2021-09-21 02:00:00,987.0250000000001,14.313500000000001,73.2,0.0,0.0,,
2021-09-21T03,2021-09-21 03:00:00,988.025,12.7505,76.19999999999999,0.0,0.0,,
2021-09-21T04,2021-09-21 04:00:00,988.65,11.3695,76.225,0.0,0.0,,
2021-09-21T05,2021-09-21 05:00:00,989.2,9.927,80.725,0.0,0.0,,
2021-09-21T06,2021-09-21 06:00:00,989.675,9.361,81.575,0.0,0.0,,
2021-09-21T07,2021-09-21 07:00:00,990.275,8.36825,82.9,0.0,0.0,,
2021-09-21T08,2021-09-21 08:00:00,990.8,7.299,85.9,0.0,0.0,,
2021-09-21T09,2021-09-21 09:00:00,991.4,6.6105,87.4,0.0,0.0,,
2021-09-21T10,2021-09-21 10:00:00,992.05,5.77,90.425,0.0,0.0,,
2021-09-21T11,2021-09-21 11:00:00,992.85,5.095,92.975,0.0,0.0,,
2021-09-21T12,2021-09-21 12:00:00,993.675,4.5575,93.75,0.0,0.0,,
2021-09-21T13,2021-09-21 13:00:00,994.5,7.2490000000000006,94.125,0.0,0.0,,
2021-09-21T14,2021-09-21 14:00:00,994.9,12.62775,86.35,0.0,0.0,,
2021-09-21T15,2021-09-21 15:00:00,995.375,18.31875,76.375,0.0,0.195,,
2021-09-21T16,2021-09-21 16:00:00,995.55,19.478,77.525,0.0,0.0,,
2021-09-21T17,2021-09-21 17:00:00,995.4250000000001,21.044,75.925,0.0,0.0,,
2021-09-21T18,2021-09-21 18:00:00,995.175,22.184,73.225,0.0,0.0,,
2021-09-21T19,2021-09-21 19:00:00,994.7,22.91425,70.9,0.0,0.0,,
2021-09-21T20,2021-09-21 20:00:00,994.2,22.154,68.45,0.0,0.0,,
2021-09-21T21,2021-09-21 21:00:00,993.9,21.288249999999998,68.475,0.0,0.0,,
2021-09-21T22,2021-09-21 22:00:00,993.725,20.0015,69.425,0.0,0.0,,
2021-09-21T23,2021-09-21 23:00:00,993.5749999999999,18.33675,70.95,0.0,0.0,,
2021-09-22T00,2021-09-22 00:00:00,994.15,16.2,76.6,0.0,0.0,,
2021-09-22T01,2021-09-22 01:00:00,993.9,13.53325,80.625,0.0,0.0,,
2021-09-22T02,2021-09-22 02:00:00,994.025,12.15225,83.875,0.0,0.0,,
2021-09-22T03,2021-09-22 03:00:00,994.0749999999999,11.27875,85.8,0.0,0.0,,
2021-09-22T04,2021-09-22 04:00:00,994.1,10.9195,87.575,0.0,0.0,,
2021-09-22T05,2021-09-22 05:00:00,993.5749999999999,11.24225,89.5,0.0,0.0,,
2021-09-22T06,2021-09-22 06:00:00,993.3,11.06575,89.65,0.0,0.0,,
2021-09-22T07,2021-09-22 07:00:00,993.05,10.91925,90.2,0.0,0.0,,
2021-09-22T08,2021-09-22 08:00:00,992.875,10.33275,89.85,0.0,0.0,,
2021-09-22T09,2021-09-22 09:00:00,992.75,9.50275,89.5,0.0,0.0,,
2021-09-22T10,2021-09-22 10:00:00,992.675,8.723500000000001,89.35,0.0,0.0,,
2021-09-22T11,2021-09-22 11:00:00,992.5,8.11375,89.45,0.0,0.0,,
2021-09-22T12,2021-09-22 12:00:00,992.25,7.83875,89.82499999999999,0.0,0.0,,
2021-09-22T13,2021-09-22 13:00:00,991.725,10.242750000000001,91.65,0.0,0.0,,
2021-09-22T14,2021-09-22 14:00:00,991.4000000000001,13.96975,89.375,0.0,0.0,,
2021-09-22T15,2021-09-22 15:00:00,991.175,17.1055,85.5,0.0,0.0,,
2021-09-22T16,2021-09-22 16:00:00,990.6,19.621000000000002,81.1,0.0,0.0,,
2021-09-22T17,2021-09-22 17:00:00,989.7,21.71825,76.825,0.0,0.0,,
2021-09-22T18,2021-09-22 18:00:00,988.5,23.24425,73.65,0.0,0.0,,
2021-09-22T19,2021-09-22 19:00:00,987.375,24.1405,71.3,0.0,0.0,,
2021-09-22T20,2021-09-22 20:00:00,986.725,24.07425,68.35,0.0,0.0,,
2021-09-22T21,2021-09-22 21:00:00,986.2,23.1125,64.875,0.0,0.0,,
2021-09-22T22,2021-09-22 22:00:00,985.675,21.42,60.55,0.0,0.0,,
2021-09-22T23,2021-09-22 23:00:00,985.15,20.09675,60.275,0.0,0.0,,
2021-09-23T00,2021-09-23 00:00:00,984.975,18.735,61.55,0.0,0.0,,
2021-09-23T01,2021-09-23 01:00:00,984.875,17.0345,67.0,0.0,0.0,,
2021-09-23T02,2021-09-23 02:00:00,984.675,15.909,71.775,0.0,0.0,,
2021-09-23T03,2021-09-23 03:00:00,984.475,15.27025,74.1,0.0,0.0,,
2021-09-23T04,2021-09-23 04:00:00,984.375,14.7325,76.225,0.0,0.0,,
2021-09-23T05,2021-09-23 05:00:00,984.175,14.2595,77.9,0.0,0.0,,
2021-09-23T06,2021-09-23 06:00:00,983.75,13.798,79.5,0.0,0.0,,
2021-09-23T07,2021-09-23 07:00:00,983.5,13.299,81.075,0.0,0.0,,
2021-09-23T08,2021-09-23 08:00:00,983.3,12.8895,82.175,0.0,0.0,,
2021-09-23T09,2021-09-23 09:00:00,983.05,12.461,83.575,0.0,0.0,,
2021-09-23T10,2021-09-23 10:00:00,982.625,12.14625,84.45,0.0,0.0,,
2021-09-23T11,2021-09-23 11:00:00,982.325,11.879999999999999,84.8,0.0,0.0,,
2021-09-23T12,2021-09-23 12:00:00,982.2,11.698,85.275,0.0,0.0,,
2021-09-23T13,2021-09-23 13:00:00,981.675,13.682,84.75,0.0,0.0,,
2021-09-23T14,2021-09-23 14:00:00,981.275,14.96575,80.7,0.0,0.0,,
2021-09-23T15,2021-09-23 15:00:00,981.325,16.349249999999998,79.25,0.0,0.0,,
2021-09-23T16,2021-09-23 16:00:00,981.3,18.848,73.8,0.0,0.0,,
2021-09-23T17,2021-09-23 17:00:00,981.45,21.1995,66.275,0.0,0.0,,
2021-09-23T18,2021-09-23 18:00:00,981.125,22.124000000000002,60.925000000000004,0.0,0.0,,
2021-09-23T19,2021-09-23 19:00:00,981.05,21.849249999999998,60.75,0.0,0.0,,
2021-09-23T20,2021-09-23 20:00:00,981.45,22.88425,58.35,0.0,0.0,,
2021-09-23T21,2021-09-23 21:00:00,982.15,22.189999999999998,56.8,0.0,0.0,,
2021-09-23T22,2021-09-23 22:00:00,982.55,21.11525,58.475,0.0,0.0,,
2021-09-23T23,2021-09-23 23:00:00,982.9,19.49025,63.625,0.0,0.0,,
