NUMBER,ANAL,SAMPLET,SAMPLED,DESCRIP,TYPE,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF-CHL,HPLC-CHLA,COND,PH,Comments for DOC
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,
4260.0,M,16:50,8/17/2016,MANITOBA,LA,HERBERT,LMB,,LLS013,0,,,,,,,77,,,,,,,,
4261.0,M,09:00,4/11/2017,MANITOBA,LA,HERBERT,BLK,,,,,,,N/S,,,3,,,N/S,,,,,
4262.0,M,11:40,4/17/2017,MANITOBA,LA,HERBERT,BLK,,,,,,,N/S,,,3,,,N/S,,,,,
4263.0,M,10:40,4/6/2017,MANITOBA,LA,HERBERT,FFR,,FR1,0,,,,N/S,813,,,16,,N/S,2.59,1.91,1111,8.45,
4264.0,M,16:10,4/12/2017,MANITOBA,LA,HERBERT,LWH,,LWH_C,,,,,N/S,,,16,,,N/S,1.52,1.06,937,8.47,
4265.0,M,16:25,4/12/2017,MANITOBA,LA,HERBERT,GR,,GLGA1,,,,,N/S,,,26,,,N/S,1.99,1.00,260,8.29,
4266.0,M,16:37,4/12/2017,MANITOBA,LA,HERBERT,GR,,GLGA2,,,,,N/S,,,21,,,N/S,1.65,0.82,161,8.14,
4267.0,M,17:00,4/12/2017,MANITOBA,LA,HERBERT,L22R,,GLL22E,,,,,N/S,,,36,,,N/S,1.01,0.67,359,8.24,
4301.0,M,09:30,4/18/2017,MANITOBA,LA,HERBERT,,,LKS009,0,,,,119,724,,15,6,,1210,1.80,1.06,998,8.59,
4302.0,M,14:59,5/16/2017,MANITOBA,LA,HERBERT,,,MBGL,0,,,,1,,,,,,40,,,,,
4303.0,M,14:55,5/16/2017,MANITOBA,LA,HERBERT,BLK,,,100,,,,21,,,,,,280,,,,,
4304.0,M,15:24,5/17/2017,MANITOBA,LA,HERBERT,BLK,,,,,,,1,,,,,,20,,,,,
4305.0,M,15:28,5/17/2017,MANITOBA,LA,HERBERT,BLK,,,,,,,16,,,,,,270,,,,,
4306.0,M,14:56,5/16/2017,MANITOBA,LA,HERBERT,BLK,,,100,,,,,,,5,,,,,,,,
4307.0,M,15:26,5/17/2017,MANITOBA,LA,HERBERT,BLK,,,,,,,,,,3,,,,,,,,
4308.0,M,,5/2/2017,MANITOBA,LA,HERBERT,BLK,,,,,,,,,,-1,,,,,,,,
