SAMPLE_NO,STATION_NO,STATION_NAME,STATION_DESCRIPTION,Dec Lat,Dec Long,STATION_TYPE_CODE,SAMPLE_MATRIX_CODE,SAMPLE_DATETIME,TIME_USABLE_FLAG,SAMPLE_CLASS_INDICATOR,AGENCY_CODE,CARBON TOTAL ORGANIC _TOC,CARBON TOTAL,COLOUR TRUE,NITROGEN TOTAL KJELDAHL _TKN,PHOSPHORUS TOTAL _P,CARBON TOTAL ORGANIC _TOC_1,CARBON DISSOLVED INORGANIC _DIC,NITROGEN TOTAL KJELDAHL _TKN_1,NITROGEN DISSOLVED NO3 _ NO2,NITROGEN TOTAL _CALCD,OXYGEN DISSOLVED,OXYGEN BIOCHEMICAL DEMAND,ALKALINITY TOTAL CACO3,TEMPERATURE WATER _FIELD,AMMONIA DISSOLVED,PHOSPHORUS TOTAL DISSOLVED,ICE THICKNESS,CHLOROPHYLL A,PHEOPHYTIN A,CHLOROPHYLL A_1,HARDNESS TOTAL _CALCD_ CACO3,HARDNESS TOTAL _CALCD_ CACO3_1,TURBIDITY,AMMONIA DISSOLVED_1,TOTAL SUSPENDED SOLIDS,COLOUR TRUE_1,OXYGEN DISSOLVED_1,NITROGEN DISSOLVED NO3 _ NO2_1,SULPHATE DISSOLVED,NITROGEN TOTAL KJELDAHL _TKN_2,NITROGEN DISSOLVED KJELDAHL,PHOSPHORUS TOTAL _P_1,PHOSPHORUS TOTAL DISSOLVED_1,PHOSPHOROUS_TOTAL_ORTHO,PHOSPHORUS PARTICULATE _CALCD,PHOSPHOROUS_ACID HYDROLYZABLE,TOTAL DISSOLVED SOLIDS,CARBON TOTAL_1,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC _TOC_2,CARBON DISSOLVED TOTAL,OXYGEN BIOCHEMICAL DEMAND_1,ALKALINITY TOTAL CACO3_1,ALKALINITY CO3_CALCD,ALKALINITY OH_CALCD,ALKALINITY TOTAL HCO3_CALCD,CONDUCTIVITY _AT 25C,PH,PH_1,CONDUCTIVITY _AT 25C_1,ALKALINITY TOTAL CACO3_2,ALKALINITY CO3_CALCD_1,ALKALINITY OH_CALCD_1,ALKALINITY TOTAL HCO3_CALCD_1,TURBIDITY_1,AMMONIA _NH3,NITRATE_  NITRITE,TOTAL DISSOLVED SOLIDS_1,TOTAL DISSOLVED SOLIDS_2,TOTAL SUSPENDED SOLIDS_1,SOLIDS TOTAL,ALKALINITY TOTAL CACO3_3,ALKALINITY TOTAL CACO3_4,ALKALINITY CO3_CALCD_2,PH_2,CONDUCTIVITY _AT 25C_2,ALKALINITY TOTAL HCO3_CALCD_2,ALKALINITY CO3_CALCD_3,ALKALINITY OH_CALCD_2,ALKALINITY TOTAL HCO3_CALCD_3,ALKALINITY OH_CALCD_3,CONDUCTIVITY _AT 25C_3,PHOSPHORUS TOTAL DISSOLVED_2,PHOSPHORUS PARTICULATE _CALCD_1,PHOSPHORUS DISSOLVED ORTHO,PHOSPHORUS TOTAL _P_2,PHOSPHORUS DISSOLVED ORTHO_1,PHOSPHATE SOLUBLE ORTHO,PHOSPHORUS TOTAL _P_3,PHOSPHORUS PARTICULATE _CALCD_2,PHOSPHORUS TOTAL DISSOLVED_3,SILICA _ DISSOLVED REACTIVE,NITROGEN TOTAL KJELDAHL _TKN_3,CHLOROPHYLL A PHYTOPLANKTON,AMMONIA DISSOLVED_2,AMMONIA DISSOLVED_3,NITROGEN DISSOLVED NO3 _ NO2_2,SULPHATE DISSOLVED_1,SULPHATE DISSOLVED_2,AMMONIA DISSOLVED_4,CARBON DISSOLVED TOTAL_1,CARBON DISSOLVED INORGANIC _DIC_1,CARBON TOTAL_2,CARBON TOTAL INORGANIC_1,CARBON TOTAL ORGANIC _CALCD,CARBON DISSOLVED ORGANIC _CALCD,HARDNESS TOTAL _CALCD_ CACO3_2,NITROGEN DISSOLVED NO3 _ NO2_3,PHOSPHORUS DISSOLVED ORTHO_2,TURBIDITY _FIELD,CONDUCTIVITY _FIELD,TEMPERATURE WATER,PHOSPHOROUS_ ACID HYDROLYZABLE _ ORTHOPHOSPHATE,PHOSPHORUS TOTAL ORGANIC,PHOSPHOROUS_ACID HYDROLYZABLE_1,CHLOROPHYLL A_2,PHEOPHYTIN A_1,HARDNESS TOTAL _CALCD_ CACO3_3,SULPHATE DISSOLVED_3,TOTAL SUSPENDED SOLIDS_2,ODB_ODA _CHLOROPHYLL_A _ PHEOPHYTIN_A RATIO,AMMONIA _NH3_1,PHOSPHORUS TOTAL INORGANIC,NITRATE _NO3_N,NITRITE _NO2_N,SULPHATE _S04,CHLOROPHYLL A_3,PHEOPHYTIN A_2,COLOUR TRUE_2,PHOSPHORUS TOTAL INORGANIC_1,PHOSPHOROUS_TOTAL_ACID REACTIVE,PHOSPHOROUS ACID HYDROLYSES,DEPTH OF WATER
,,,,,,,,,,,VMV Code,1615,1616,2021,4106,4781,6001,6151,7021,7111,7602,8101,8202,10109,80209,80319,80359,97305,97700,97701,99288,99297,99298,99425,99426,99435,99436,99439,99490,99492,99545,99546,99548,99549,99550,99552,99556,99558,99753,99754,99755,99756,99758,99957,99958,99959,99960,99961,99962,99963,99964,99965,99966,99967,99968,101168,102626,103392,104212,104213,104214,104215,104218,104222,104224,104226,104228,104229,104230,104231,104232,104233,104234,104245,104246,104247,104248,104250,104251,104252,104253,104254,104260,104265,104273,104286,104287,104294,104297,104299,104301,104303,104304,104306,104307,104308,104313,104316,104705,104716,104751,104753,104754,104775,104776,104783,107230,107231,107249,107250,107251,107272,107447,107808,107991,107992,107994,107995,107996,107999,108469,108470,108471,910212
,,,,,,,,,,,Unit Code,mg/L,mg/L,rel units,mg/L,ug/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,Deg C,MG/L,MG/L,m,ug/L,ug/L,ug/L,mg/L,mg/L,Ntu,mg/L,mg/L,CU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,MG/L @180C,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,uS/cm,pH units,pH units,uS/cm,mg/L,mg/L,mg/L,mg/L,Ntu,mg/L,mg/L,MG/L @180C,MG/L @105C,mg/L,mg/L,mg/L,mg/L,mg/L,pH units,US/CM,mg/L,mg/L,mg/L,mg/L,mg/L,US/CM,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,Ntu,uS/cm,deg C,mg/L,mg/L,mg/L,ug/L,ug/L,MG/L,MG/L,MG/L,NO UNITS,mg/L,MG/L,MG/L,MG/L,MG/L,ug/L,ug/L,CU,mg/L,mg/L,mg/L,m
98-A21318,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/28/1998 10:15:00 AM,Y,A,381,,,,,,,,,,,,1,,,,,,,,,,,,,,25,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,490,11,500,221,,,8.27,,270,L20,L10,,,628,,,,,,,0.096,0.075,0.021,,0.8,,,,0.02,,103,0.03,,,65,54,11,,283,,,13,650,15,,,,,,,,,,,,,,,,,,,,,
98-A36986,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,7/7/1998 10:45:00 AM,Y,A,381,,,,,,,,,,,,L1,,,,,,,,,,,,,,50,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,370,230,610,181,,,8.26,,221,L20,L10,,,455,,,,,,,0.306,0.256,0.05,,0.8,,,0.02,0.12,,46,,,,64,42,22,,285,,,147,457,21.5,,,,,,,,,,,,,,,,,,,,,
98-A64283,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,10/28/1998 10:30:00 AM,Y,A,381,,,,,,,,,,,,2,,,,,,,,,,,,,,10,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,460,8,470,256,,,8.35,,296,L20,L10,,,694,,,,,,,0.027,0.016,0.011,,0.6,,,0.01,L0.01,,96,,,,69,58,11,,339,,,5.4,691,7,,,,,,,,,,,,,,,,,,,,,
99-A17261,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/20/1999 11:00:00 AM,Y,A,381,,,,,,,,,,,,2,,,,,,,,,,,,,,70,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,440,64,,164,,,8.28,,200,L20,L10,,,709,,,,,,,0.124,0.084,0.04,,1,,,0.09,0.18,,102,,,,54,39,15,,240,,,53,539,9,,,,,,,,,,,,,,,,,,,,,
99-A32985,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,6/29/1999 10:00:00 AM,Y,A,381,,,,,,,,,,,,1,,,,,,,,,,,,,,50,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,2500,25,,216,,,8.17,,264,L20,L10,,,437,,,,,,,0.05,0.034,0.016,,0.7,,,0.11,0.01,,142,,,,62,48,14,,384,,,18,531,17.5,,,,,,,,,,,,,,,,,,,,,
99-A53668,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,9/21/1999 11:00:00 AM,Y,A,381,,,,,,,,,,,,1,,,,,,,,,,,,,,50,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,520,L5,,196,,,8.35,,225,L20,L10,,,945,,,,,,,0.029,0.019,0.01,,0.6,,,0.03,L0.01,,76,,,,62,47,15,,267,,,14,932,14.5,,,,,,,,,,,,,,,,,,,,,
00-A18597,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,4/17/2000 11:00:00 AM,Y,A,381,,,,,,,,,,,,1,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,630,13,,207,,,8.28,,253,L20,L10,,,1060,,,,,,,0.051,0.038,0.013,,1,,,0.04,L0.01,,110,,,,59,50,9,,302,,,16,1093,3,,,,,,,,,,,,,,,,,,,,,
00-A35382,MB05LES011,SWAN RIVER,SWAN RIVER AT PR #268 NEAR LENSWOOD,52.3181,-100.9486,0.0,2.0,6/20/2000 11:00:00 AM,Y,A,381,,,,,,,,,,,,2,,,,,,,,,,,,,,50,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,520,540,260,,200,,,8.18,,244,L20,L10,,,901,,,,,,,0.115,0.087,0.028,,1.1,,,0.1,0.11,,92,,,,58,46,12,,296,,,79,943,18,,,,,,,,,,,,,,,,,,,,,
