STATION_NO,STATION_NAME,STATION_DESCRIPTION,STATION_TYPE_CODE,SAMPLE_DATE,SAMPLE_TIME,SAMPLE_MATRIX_CODE,SAMPLE_TYPE_CODE,VMV_CODE,VARIABLE_CODE,VARIABLE_NAME,VALUE,UNIT_CODE
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,,SURFACE WATER,DISCRETE GRAB - SURFACE,2073,864,TURBIDITY,L0.5,JTU
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,0:00:00,SURFACE WATER,DISCRETE GRAB - SURFACE,99439,659,OXYGEN DISSOLVED,8,mg/L
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,10:00 PM,SURFACE WATER,DISCRETE GRAB - SURFACE,104214,1032,TOTAL SUSPENDED SOLIDS,15,mg/L
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,13:20:00,SURFACE WATER,DISCRETE GRAB - SURFACE,104219,3533,ALKALINITY TOTAL HCO3(CALCD.),147,mg/L
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,,SURFACE WATER,DISCRETE GRAB - SURFACE,104220,3534,ALKALINITY CO3(CALCD.),9.4,mg/L
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,,SURFACE WATER,DISCRETE GRAB - SURFACE,104221,3535,ALKALINITY OH(CALCD.),0,mg/L
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,,SURFACE WATER,DISCRETE GRAB - SURFACE,104226,687,PH,8.55,pH units
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,,SURFACE WATER,DISCRETE GRAB - SURFACE,104228,1038,CONDUCTIVITY (AT 25C),840,µS/cm
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,,SURFACE WATER,DISCRETE GRAB - SURFACE,104270,626,NITROGEN TOTAL KJELDAHL (TKN),0.7,mg/L
MB05LDS002,LAKE WINNIPEGOSIS,"LAKE WINNIPEGOSIS NEAR ROWAN ISLAND, DAWSON BAY",LAKE,1973-08-07,,SURFACE WATER,DISCRETE GRAB - SURFACE,104699,364,ALKALINITY TOTAL CACO3,136,mg/L
