Datetime,Air Temperature,Average 10 meter wind speed over past 1 hour,Average air temperature over past 1 hour,Mean Sea Level Pressure,Precipitation Amount over past 1 hour,Rainfall amount over past 1 hour,Relative Humidity,Station Pressure,Vector average 10 meter wind direction over past 1 hour
2023-04-11 13:00:00,1.2,6.8,-0.3,1011.9,0.0,0.0,88.0,980.9,91.0
2023-04-11 14:00:00,4.2,4.3,3.1,1011.2,0.0,0.0,72.0,980.3,87.0
2023-04-11 15:00:00,6.7,10.3,5.2,1009.8,0.0,0.0,67.0,979.0,124.0
2023-04-11 16:00:00,7.1,15.5,6.7,1009.4,0.0,0.0,65.0,978.6,134.0
2023-04-11 17:00:00,8.5,15.6,7.2,1007.9,0.0,0.0,61.0,977.2,140.0
2023-04-11 18:00:00,9.2,17.4,9.2,1007.0,0.0,0.0,60.0,976.3,134.0
2023-04-11 19:00:00,10.8,19.1,8.9,1005.0,0.0,0.0,57.0,974.5,143.0
2023-04-11 20:00:00,11.1,24.3,10.7,1004.1,0.0,0.0,55.0,973.6,140.0
2023-04-11 21:00:00,7.0,28.1,8.7,1002.7,0.0,0.0,67.0,972.1,151.0
2023-04-11 22:00:00,8.0,27.9,8.0,1001.4,0.0,0.0,62.0,970.8,152.0
2023-04-11 23:00:00,4.6,27.1,5.9,1000.9,0.0,0.0,76.0,970.2,157.0
2023-04-12 00:00:00,3.8,21.6,3.5,1001.4,0.0,0.0,81.0,970.7,171.0
2023-04-12 01:00:00,3.3,20.8,3.6,1000.8,0.0,0.0,84.0,970.1,152.0
2023-04-12 02:00:00,2.4,19.5,2.4,1000.3,0.0,0.0,89.0,969.7,155.0
2023-04-12 03:00:00,1.9,17.0,1.9,1000.4,0.0,0.0,91.0,969.9,155.0
2023-04-12 04:00:00,2.1,16.0,2.0,1000.2,0.0,0.0,88.0,969.7,153.0
2023-04-12 05:00:00,1.0,12.4,1.1,1000.2,0.0,0.0,93.0,969.7,179.0
2023-04-12 06:00:00,0.7,9.1,0.9,1000.2,0.0,0.0,93.0,969.8,200.0
2023-04-12 07:00:00,0.4,7.8,0.5,1000.0,0.0,0.0,94.0,969.6,229.0
2023-04-12 08:00:00,0.7,7.1,0.7,1000.6,0.0,0.0,94.0,970.1,280.0
